<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20170305,213000,1.0611000,1.0611000,1.0608000,1.0609000,38
20170305,214500,1.0609000,1.0614000,1.0608000,1.0614000,34
20170305,220000,1.0614000,1.0614000,1.0608000,1.0612000,47
20170305,221500,1.0612000,1.0615000,1.0604000,1.0605000,52
20170305,223000,1.0605000,1.0606100,1.0602000,1.0602000,63
20170305,224500,1.0604000,1.0605900,1.0600000,1.0605700,57
20170305,230000,1.0603000,1.0605900,1.0601000,1.0603000,37
20170305,231500,1.0603000,1.0604800,1.0600000,1.0602000,49
20170305,233000,1.0602000,1.0604100,1.0600000,1.0602000,44
20170305,234500,1.0602000,1.0603400,1.0602000,1.0603000,25
20170306,000000,1.0603000,1.0603200,1.0602000,1.0602400,24
20170306,001500,1.0602000,1.0609000,1.0602000,1.0607000,51
20170306,003000,1.0608200,1.0613800,1.0606000,1.0612800,33
20170306,004500,1.0611000,1.0612500,1.0606000,1.0608600,303
20170306,010000,1.0608500,1.0612300,1.0606500,1.0607200,642
20170306,011500,1.0610000,1.0611000,1.0598000,1.0602500,3669
20170306,013000,1.0602500,1.0610400,1.0600700,1.0610000,3015
20170306,014500,1.0610000,1.0615000,1.0602000,1.0614800,4218
20170306,020000,1.0613400,1.0616100,1.0602000,1.0609400,9529
20170306,021500,1.0609300,1.0619600,1.0607600,1.0616300,10693
20170306,023000,1.0616900,1.0621200,1.0614000,1.0619000,6974
20170306,024500,1.0619000,1.0619600,1.0614000,1.0616300,5779
20170306,030000,1.0616800,1.0621600,1.0613000,1.0620100,7295
20170306,031500,1.0620000,1.0621200,1.0605000,1.0608100,16378
20170306,033000,1.0608300,1.0612400,1.0604000,1.0608500,13747
20170306,034500,1.0608000,1.0610700,1.0602000,1.0609200,14570
20170306,040000,1.0609400,1.0613000,1.0607000,1.0611900,13536
20170306,041500,1.0612300,1.0612600,1.0604000,1.0609100,13305
20170306,043000,1.0609100,1.0613200,1.0606600,1.0609200,11431
20170306,044500,1.0609300,1.0610800,1.0605000,1.0608600,11742
20170306,050000,1.0608300,1.0609800,1.0603000,1.0606300,10950
20170306,051500,1.0606700,1.0612600,1.0605000,1.0610500,10531
20170306,053000,1.0610500,1.0612100,1.0607000,1.0610600,10045
20170306,054500,1.0610600,1.0611000,1.0604000,1.0607400,10259
20170306,060000,1.0607400,1.0608100,1.0603000,1.0607200,10766
20170306,061500,1.0607200,1.0610400,1.0604400,1.0608000,8317
20170306,063000,1.0609000,1.0611300,1.0605000,1.0607400,10073
20170306,064500,1.0607400,1.0608800,1.0604000,1.0606200,7697
20170306,070000,1.0606700,1.0607200,1.0601000,1.0605300,11046
20170306,071500,1.0604000,1.0606600,1.0602000,1.0604400,8757
20170306,073000,1.0604000,1.0605600,1.0600000,1.0602800,9055
20170306,074500,1.0602700,1.0604500,1.0599000,1.0602300,9429
20170306,080000,1.0602500,1.0603700,1.0599000,1.0600700,10098
20170306,081500,1.0600300,1.0602900,1.0599000,1.0601500,10486
20170306,083000,1.0601500,1.0603100,1.0597000,1.0602400,9988
20170306,084500,1.0602000,1.0604200,1.0599000,1.0603200,8918
20170306,090000,1.0603000,1.0605100,1.0601000,1.0604000,7159
20170306,091500,1.0603000,1.0604100,1.0599000,1.0602800,8730
20170306,093000,1.0603000,1.0604600,1.0599000,1.0603200,10567
20170306,094500,1.0603200,1.0603500,1.0593000,1.0595700,12220
20170306,100000,1.0595700,1.0601700,1.0589000,1.0599300,14230
20170306,101500,1.0599200,1.0605000,1.0595900,1.0602000,16728
20170306,103000,1.0602300,1.0606600,1.0598000,1.0600500,14098
20170306,104500,1.0601300,1.0604500,1.0594000,1.0597500,16283
20170306,110000,1.0597900,1.0605600,1.0594000,1.0598600,18217
20170306,111500,1.0598400,1.0610000,1.0595000,1.0609300,23312
20170306,113000,1.0609400,1.0640200,1.0607000,1.0632900,34358
20170306,114500,1.0633000,1.0633800,1.0621000,1.0624000,25121
20170306,120000,1.0624000,1.0630000,1.0620700,1.0625000,20084
20170306,121500,1.0625500,1.0635800,1.0623000,1.0632400,23687
20170306,123000,1.0632400,1.0633300,1.0619000,1.0622400,20831
20170306,124500,1.0622300,1.0623000,1.0589400,1.0595100,37219
20170306,130000,1.0594900,1.0602300,1.0591000,1.0602000,25089
20170306,131500,1.0601900,1.0603300,1.0591000,1.0592800,21572
20170306,133000,1.0593300,1.0594100,1.0583000,1.0587100,22937
20170306,134500,1.0587100,1.0593000,1.0583000,1.0589000,17021
20170306,140000,1.0589900,1.0592400,1.0583000,1.0591000,15784
20170306,141500,1.0590800,1.0594300,1.0585000,1.0587600,15832
20170306,143000,1.0587600,1.0590000,1.0579000,1.0583000,19235
20170306,144500,1.0584200,1.0590000,1.0579000,1.0586200,15693
20170306,150000,1.0586200,1.0590000,1.0577000,1.0579900,17037
20170306,151500,1.0580200,1.0583000,1.0574000,1.0580100,16927
20170306,153000,1.0580000,1.0584800,1.0575000,1.0583700,17909
20170306,154500,1.0583700,1.0590000,1.0579000,1.0587600,15140
20170306,160000,1.0587700,1.0591000,1.0583000,1.0587900,17313
20170306,161500,1.0587700,1.0592700,1.0585000,1.0591900,18899
20170306,163000,1.0591900,1.0604300,1.0589800,1.0600900,21320
20170306,164500,1.0601200,1.0605800,1.0596700,1.0599100,17670
20170306,170000,1.0599300,1.0601800,1.0594000,1.0597500,17869
20170306,171500,1.0597300,1.0601800,1.0590000,1.0601300,20391
20170306,173000,1.0601500,1.0604800,1.0596000,1.0602800,17191
20170306,174500,1.0602600,1.0603500,1.0592000,1.0600400,24387
20170306,180000,1.0601200,1.0603200,1.0596000,1.0598000,18751
20170306,181500,1.0598200,1.0605000,1.0592900,1.0598900,27772
20170306,183000,1.0599700,1.0600900,1.0592000,1.0596900,22157
20170306,184500,1.0596600,1.0610000,1.0595000,1.0605400,25529
20170306,190000,1.0605400,1.0606000,1.0593000,1.0598300,27194
20170306,191500,1.0598300,1.0600000,1.0590000,1.0592300,26737
20170306,193000,1.0592400,1.0594200,1.0583000,1.0586800,24951
20170306,194500,1.0586600,1.0590000,1.0581000,1.0584400,18459
20170306,200000,1.0584600,1.0590000,1.0578000,1.0584700,16019
20170306,201500,1.0584000,1.0588600,1.0580000,1.0584500,14905
20170306,203000,1.0584500,1.0588300,1.0581000,1.0587100,11183
20170306,204500,1.0587000,1.0587500,1.0577000,1.0578700,12648
20170306,210000,1.0578800,1.0583200,1.0574000,1.0576700,17777
20170306,211500,1.0577200,1.0582200,1.0575000,1.0579700,12928
20170306,213000,1.0579700,1.0582000,1.0575000,1.0578500,11784
20170306,214500,1.0578900,1.0580900,1.0572000,1.0577500,14326
20170306,220000,1.0577200,1.0583500,1.0575000,1.0582400,12881
20170306,221500,1.0582500,1.0585200,1.0580000,1.0584500,12162
20170306,223000,1.0584500,1.0588500,1.0581000,1.0586600,9469
20170306,224500,1.0586500,1.0586800,1.0581000,1.0585000,8390
20170306,230000,1.0584700,1.0587500,1.0580000,1.0586900,14418
20170306,231500,1.0586800,1.0590300,1.0582000,1.0585300,11625
20170306,233000,1.0585300,1.0586000,1.0580000,1.0584100,10808
20170306,234500,1.0584000,1.0585400,1.0577000,1.0582300,12220
20170307,000000,1.0583100,1.0584300,1.0580000,1.0582400,10527
20170307,001500,1.0582300,1.0584300,1.0580000,1.0582600,5854
20170307,003000,1.0582400,1.0583100,1.0578000,1.0581500,4949
20170307,004500,1.0581600,1.0586500,1.0578000,1.0583900,7361
20170307,010000,1.0584100,1.0584600,1.0578000,1.0580300,7730
20170307,011500,1.0582000,1.0583400,1.0577000,1.0579400,4566
20170307,013000,1.0579400,1.0581400,1.0575000,1.0578300,5820
20170307,014500,1.0578300,1.0582700,1.0575000,1.0579900,4899
20170307,020000,1.0579100,1.0583100,1.0575000,1.0581500,11004
20170307,021500,1.0581800,1.0581800,1.0575000,1.0580200,8417
20170307,023000,1.0580500,1.0580600,1.0573000,1.0577100,8347
20170307,024500,1.0576800,1.0579600,1.0574000,1.0578700,9218
20170307,030000,1.0576500,1.0580300,1.0574000,1.0579100,7979
20170307,031500,1.0579100,1.0582300,1.0575000,1.0581000,12740
20170307,033000,1.0578800,1.0582700,1.0575000,1.0577000,11344
20170307,034500,1.0577300,1.0577800,1.0570000,1.0574000,12307
20170307,040000,1.0574000,1.0577200,1.0571000,1.0574400,11679
20170307,041500,1.0574700,1.0577300,1.0570000,1.0575800,12104
20170307,043000,1.0576500,1.0579500,1.0574000,1.0578400,9369
20170307,044500,1.0578800,1.0583700,1.0576600,1.0580700,11177
20170307,050000,1.0581000,1.0583700,1.0576000,1.0582400,10880
20170307,051500,1.0582600,1.0585400,1.0580000,1.0582300,12548
20170307,053000,1.0582400,1.0584500,1.0579000,1.0583800,9932
20170307,054500,1.0583800,1.0585400,1.0581000,1.0582900,11104
20170307,060000,1.0583300,1.0587200,1.0581000,1.0585300,8939
20170307,061500,1.0585700,1.0586600,1.0581000,1.0584100,7748
20170307,063000,1.0584500,1.0593200,1.0581000,1.0589200,13903
20170307,064500,1.0589500,1.0590400,1.0584000,1.0586700,15409
20170307,070000,1.0586800,1.0589900,1.0584000,1.0589400,10617
20170307,071500,1.0589300,1.0592400,1.0585000,1.0590500,11489
20170307,073000,1.0590700,1.0592500,1.0587000,1.0591700,12585
20170307,074500,1.0591900,1.0592300,1.0586000,1.0591200,12221
20170307,080000,1.0591200,1.0591600,1.0579000,1.0580900,12390
20170307,081500,1.0581500,1.0582600,1.0577000,1.0580800,9998
20170307,083000,1.0580800,1.0583400,1.0578000,1.0582400,8168
20170307,084500,1.0582600,1.0586300,1.0580000,1.0585200,9851
20170307,090000,1.0585200,1.0587500,1.0582000,1.0585400,9589
20170307,091500,1.0584900,1.0590300,1.0583000,1.0589800,11966
20170307,093000,1.0589700,1.0590400,1.0585000,1.0588200,9724
20170307,094500,1.0587400,1.0589300,1.0582000,1.0585500,9777
20170307,100000,1.0585500,1.0586000,1.0581000,1.0585000,12009
20170307,101500,1.0585400,1.0587000,1.0580000,1.0586200,16511
20170307,103000,1.0586200,1.0595900,1.0582000,1.0593000,17039
20170307,104500,1.0593500,1.0600000,1.0590000,1.0598900,16636
20170307,110000,1.0598400,1.0600000,1.0591000,1.0596800,17757
20170307,111500,1.0596600,1.0602600,1.0592000,1.0594500,23492
20170307,113000,1.0595200,1.0600000,1.0588000,1.0591400,20392
20170307,114500,1.0591400,1.0593600,1.0587000,1.0592000,17824
20170307,120000,1.0592100,1.0592400,1.0582000,1.0585000,19183
20170307,121500,1.0584500,1.0590000,1.0576000,1.0582100,18466
20170307,123000,1.0582200,1.0583300,1.0573000,1.0578300,18585
20170307,124500,1.0577600,1.0580000,1.0570000,1.0576000,20788
20170307,130000,1.0576200,1.0576200,1.0561000,1.0563300,23023
20170307,131500,1.0563100,1.0566300,1.0556000,1.0563600,26721
20170307,133000,1.0563600,1.0570000,1.0560900,1.0567700,19014
20170307,134500,1.0567700,1.0572100,1.0564000,1.0570500,15703
20170307,140000,1.0571000,1.0577200,1.0568000,1.0575200,16454
20170307,141500,1.0575700,1.0582000,1.0571000,1.0573700,16651
20170307,143000,1.0573200,1.0574700,1.0569000,1.0572300,14721
20170307,144500,1.0572100,1.0580000,1.0569000,1.0578000,13707
20170307,150000,1.0578000,1.0582000,1.0569000,1.0574600,14880
20170307,151500,1.0574300,1.0576200,1.0570000,1.0572300,13680
20170307,153000,1.0571400,1.0573200,1.0568000,1.0571700,16045
20170307,154500,1.0571900,1.0572500,1.0565000,1.0571300,15684
20170307,160000,1.0571200,1.0574500,1.0565000,1.0568900,16988
20170307,161500,1.0568900,1.0576800,1.0567000,1.0575600,19431
20170307,163000,1.0575600,1.0580300,1.0570000,1.0575600,18929
20170307,164500,1.0575800,1.0580000,1.0567000,1.0569400,23725
20170307,170000,1.0570100,1.0571100,1.0561000,1.0567200,24279
20170307,171500,1.0569000,1.0572700,1.0560000,1.0566200,22363
20170307,173000,1.0566200,1.0570000,1.0564000,1.0566900,16419
20170307,174500,1.0566800,1.0569300,1.0559000,1.0563600,23742
20170307,180000,1.0562800,1.0570000,1.0560000,1.0563100,23828
20170307,181500,1.0563200,1.0570500,1.0559000,1.0569200,17523
20170307,183000,1.0569400,1.0571500,1.0566000,1.0569700,22620
20170307,184500,1.0569800,1.0575300,1.0567000,1.0574800,21252
20170307,190000,1.0574000,1.0580800,1.0570000,1.0579600,23415
20170307,191500,1.0579100,1.0582000,1.0573000,1.0574800,21709
20170307,193000,1.0574800,1.0580000,1.0568700,1.0576200,20116
20170307,194500,1.0576400,1.0580000,1.0572000,1.0574600,17567
20170307,200000,1.0574600,1.0583000,1.0572800,1.0580600,18058
20170307,201500,1.0580800,1.0586100,1.0575000,1.0584000,19699
20170307,203000,1.0583200,1.0588800,1.0580000,1.0583700,15540
20170307,204500,1.0583500,1.0584800,1.0575000,1.0578200,14458
20170307,210000,1.0578200,1.0581000,1.0570000,1.0574300,14725
20170307,211500,1.0574600,1.0576000,1.0569000,1.0571800,14107
20170307,213000,1.0571400,1.0574000,1.0565000,1.0570600,15479
20170307,214500,1.0570800,1.0571100,1.0565000,1.0567800,12557
20170307,220000,1.0568000,1.0569200,1.0564000,1.0566800,11669
20170307,221500,1.0566800,1.0568000,1.0562000,1.0565700,12718
