<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20141113,000000,1.2434600,1.2491600,1.2425000,1.2477700,1197978
20141114,000000,1.2477700,1.2546300,1.2396000,1.2525600,1618293
20141115,000000,1.2525800,1.2528500,1.2514800,1.2522000,22461
20141116,000000,1.2525600,1.2538000,1.2524000,1.2532000,1274
20141117,000000,1.2532000,1.3000000,1.2443000,1.2449700,1401638
20141118,000000,1.2449600,1.2545000,1.2441000,1.2535100,1313310
20141119,000000,1.2534600,1.2600200,1.2510000,1.2542400,1493204
20141120,000000,1.2542600,1.2575300,1.2502000,1.2543900,1656122
20141121,000000,1.2543600,1.2568200,1.2373000,1.2391300,1685239
20141122,000000,1.2391600,1.2394600,1.2384000,1.2390000,19406
20141124,000000,1.2384400,1.2444700,1.2371000,1.2441500,862484
20141125,000000,1.2441100,1.2487200,1.2400000,1.2476900,1216126
20141126,000000,1.2476700,1.2531400,1.2441000,1.2508000,1290120
20141127,000000,1.2509000,1.2523600,1.2462000,1.2465700,972688
20141128,000000,1.2466600,1.2490300,1.2424000,1.2439200,1229666
20141129,000000,1.2439100,1.2452500,1.2438000,1.2451000,12856
20141130,000000,1.2449300,1.2473000,1.2447000,1.2470700,1747
20141201,000000,1.2471000,1.2506500,1.2418000,1.2471400,1323285
20141202,000000,1.2471300,1.2483000,1.2375000,1.2380000,1300720
20141203,000000,1.2380700,1.2390600,1.2300000,1.2309500,1309305
20141204,000000,1.2309300,1.2456300,1.2280200,1.2382100,1486818
20141205,000000,1.2382300,1.2393100,1.2269700,1.2289100,1477874
20141206,000000,1.2289100,1.2290000,1.2280100,1.2285000,27114
20141207,000000,1.2278000,1.2285000,1.2276000,1.2280000,635
20141208,000000,1.2282400,1.2343900,1.2245000,1.2310700,1304264
20141209,000000,1.2311700,1.2447800,1.2289000,1.2371700,1743628
20141210,000000,1.2371700,1.2447900,1.2359000,1.2444600,1527941
20141211,000000,1.2443800,1.2495200,1.2368900,1.2388000,1814420
20141212,000000,1.2388500,1.2485300,1.2382000,1.2454200,1404837
20141213,000000,1.2454700,1.2463800,1.2442400,1.2460000,32018
20141214,000000,1.2459400,1.2480000,1.2454000,1.2476800,1055
20141215,000000,1.2477000,1.2483300,1.2413000,1.2434500,1546150
20141216,000000,1.2434800,1.2569900,1.2431000,1.2514700,1877440
20141217,000000,1.2514400,1.2516600,1.2319900,1.2340500,1879551
20141218,000000,1.2341500,1.2352800,1.2263000,1.2285400,1708985
20141219,000000,1.2285100,1.2302200,1.2218800,1.2225500,1246662
20141220,000000,1.2226100,1.2234600,1.2223600,1.2225500,24190
20141221,000000,1.2225000,1.2225000,1.2218000,1.2221000,612
20141222,000000,1.2220800,1.2272600,1.2214000,1.2226300,937191
20141223,000000,1.2225700,1.2245700,1.2162000,1.2171200,1062965
20141224,000000,1.2169000,1.2220200,1.2165000,1.2202800,699329
20141225,000000,1.2203200,1.2254000,1.2186000,1.2216500,62436
20141226,000000,1.2216400,1.2226100,1.2166000,1.2177700,494834
20141227,000000,1.2177400,1.2182000,1.2173800,1.2177700,15093
20141228,000000,1.2184800,1.2185000,1.2166500,1.2176500,5307
20141229,000000,1.2181000,1.2221000,1.2141000,1.2153500,908742
20141230,000000,1.2153400,1.2187400,1.2126000,1.2154300,994113
20141231,000000,1.2155000,1.2169700,1.2095000,1.2100500,808816
20150101,000000,1.2100300,1.2104000,1.2091800,1.2096500,19776
20150102,000000,1.2101000,1.2107500,1.2000000,1.2003200,914747
20150103,000000,1.2003000,1.2006300,1.1992500,1.1996500,22427
20150104,000000,1.2001000,1.2005100,1.1995300,1.2000000,5052
20150105,000000,1.1999900,1.2002500,1.1865000,1.1936200,1468035
20150106,000000,1.1935800,1.1968700,1.1881000,1.1898300,1600873
20150107,000000,1.1898300,1.1899300,1.1799000,1.1832000,1673827
20150108,000000,1.1832100,1.1847600,1.1752000,1.1788100,1469153
20150109,000000,1.1788200,1.1846000,1.1761000,1.1843000,1426418
20150110,000000,1.1842600,1.1844800,1.1827900,1.1835900,26659
20150111,000000,1.1840000,1.1855000,1.1837000,1.1850800,9755
20150112,000000,1.1850700,1.1870900,1.1784000,1.1836500,1100164
20150113,000000,1.1836500,1.1859700,1.1752000,1.1771000,1281423
20150114,000000,1.1770800,1.1846000,1.1726000,1.1788600,1446270
20150115,000000,1.1789300,1.1792900,1.1566900,1.1618300,1891927
20150116,000000,1.1618400,1.1650000,1.1458000,1.1568700,1614910
20150117,000000,1.1568800,1.1575000,1.1551400,1.1568900,26206
20150118,000000,1.1547400,1.1565000,1.1541500,1.1542000,2381
20150119,000000,1.1541900,1.1640000,1.1541500,1.1608900,1268306
20150120,000000,1.1608700,1.1614900,1.1538000,1.1550900,1410661
20150121,000000,1.1550900,1.1679600,1.1539000,1.1588100,1544104
20150122,000000,1.1588200,1.1651400,1.1350000,1.1360400,1763324
20150123,000000,1.1360100,1.1373900,1.1113000,1.1207700,2019028
20150124,000000,1.1207600,1.1258000,1.1195500,1.1203100,36137
20150125,000000,1.1185000,1.1195000,1.1135900,1.1155800,5768
20150126,000000,1.1156000,1.1295800,1.1096600,1.1262300,1574976
20150127,000000,1.1261800,1.1422500,1.1221000,1.1379100,1691391
20150128,000000,1.1379300,1.1383200,1.1281000,1.1289100,1616032
20150129,000000,1.1289000,1.1368000,1.1260000,1.1324400,1568762
20150130,000000,1.1324300,1.1363800,1.1277000,1.1299400,1518414
20150131,000000,1.1299400,1.1300000,1.1272500,1.1285900,37655
20150202,000000,1.1318300,1.1362100,1.1290000,1.1335000,1313264
20150203,000000,1.1334800,1.1533800,1.1311000,1.1482400,1705132
20150204,000000,1.1481800,1.1488900,1.1378000,1.1390500,1548399
20150205,000000,1.1389500,1.1498800,1.1302000,1.1486000,1819959
20150206,000000,1.1485800,1.1486700,1.1310000,1.1319900,1467329
20150207,000000,1.1319400,1.1323900,1.1309500,1.1309500,27139
20150208,000000,1.1315000,1.1330200,1.1282400,1.1294900,8894
20150209,000000,1.1292100,1.1359600,1.1267000,1.1323600,1359063
20150210,000000,1.1323500,1.1345500,1.1271000,1.1315800,1431443
20150211,000000,1.1316100,1.1331500,1.1277000,1.1293200,1255230
20150212,000000,1.1292500,1.1423100,1.1286000,1.1410300,1667149
20150213,000000,1.1410300,1.1443100,1.1377000,1.1398200,1313577
20150214,000000,1.1398500,1.1401500,1.1373500,1.1377500,23079
20150215,000000,1.1381700,1.1423000,1.1379000,1.1404500,2485
20150216,000000,1.1404900,1.1430000,1.1318000,1.1346100,937295
20150217,000000,1.1346100,1.1449000,1.1321000,1.1417300,1419584
20150218,000000,1.1417400,1.1419400,1.1332000,1.1399500,1235068
20150219,000000,1.1397900,1.1450100,1.1354800,1.1359500,1174364
20150220,000000,1.1359500,1.1429700,1.1277900,1.1376900,1455857
20150221,000000,1.1376300,1.1384400,1.1369100,1.1379300,26146
20150222,000000,1.1399000,1.1412000,1.1382500,1.1400800,7075
20150223,000000,1.1400700,1.1403000,1.1292000,1.1331600,1084328
20150224,000000,1.1331600,1.1358100,1.1287000,1.1342400,1356391
20150225,000000,1.1342600,1.1390000,1.1333000,1.1364300,1277649
20150226,000000,1.1363500,1.1380000,1.1182000,1.1197900,1315421
20150227,000000,1.1197900,1.1245100,1.1173000,1.1189800,1366545
20150228,000000,1.1189900,1.1197800,1.1186600,1.1191600,15381
20150301,000000,1.1186000,1.1187000,1.1169200,1.1172200,8865
20150302,000000,1.1177000,1.1240500,1.1157000,1.1181000,875091
20150303,000000,1.1181200,1.1217500,1.1152000,1.1174500,1149620
20150304,000000,1.1175000,1.1186600,1.1060000,1.1075700,1389164
20150305,000000,1.1074600,1.1114400,1.0985000,1.1026000,1349380
20150306,000000,1.1027700,1.1032700,1.0840000,1.0848800,1506182
20150307,000000,1.0849300,1.0855000,1.0834600,1.0845500,26228
20150308,000000,1.0830000,1.0839000,1.0821500,1.0829800,10076
20150309,000000,1.0830400,1.0906500,1.0820000,1.0850500,1146010
20150310,000000,1.0851300,1.0855900,1.0691000,1.0696800,1687498
20150311,000000,1.0697100,1.0717000,1.0508000,1.0546000,1971283
20150312,000000,1.0546400,1.0683800,1.0493000,1.0633600,1993369
20150313,000000,1.0633200,1.0635000,1.0461000,1.0494900,1707105
20150314,000000,1.0494100,1.0500000,1.0480500,1.0500000,488
20150315,000000,1.0479000,1.0485400,1.0451500,1.0465100,9102
20150316,000000,1.0465000,1.0619400,1.0464900,1.0566000,1436274
20150317,000000,1.0566600,1.0650800,1.0548000,1.0596600,1414716
20150318,000000,1.0596900,1.1040000,1.0577000,1.0861300,1864706
20150319,000000,1.0864000,1.0919800,1.0612100,1.0658400,2320793
20150320,000000,1.0658300,1.0882400,1.0647000,1.0818400,1813598
20150321,000000,1.0821800,1.0825000,1.0810000,1.0811500,64
20150322,000000,1.0833000,1.0845200,1.0824000,1.0839400,6507
20150323,000000,1.0839300,1.0971300,1.0766000,1.0945000,1989567
20150324,000000,1.0945400,1.1029400,1.0888000,1.0923000,1945426
20150325,000000,1.0923000,1.1015000,1.0898000,1.0968200,1650246
20150326,000000,1.0968100,1.1052300,1.0854000,1.0883200,1903891
20150327,000000,1.0882600,1.0948800,1.0799000,1.0880600,1727831
20150328,000000,1.0887000,1.0896000,1.0880900,1.0893500,165
20150329,000000,1.0883000,1.0891200,1.0876800,1.0886600,8460
20150330,000000,1.0886000,1.0895000,1.0808000,1.0832200,1414851
20150331,000000,1.0832200,1.0833100,1.0712000,1.0730600,1433964
20150401,000000,1.0730300,1.0800100,1.0716000,1.0762400,1708973
20150402,000000,1.0761600,1.0905500,1.0748000,1.0879400,1571152
20150403,000000,1.0880000,1.1027000,1.0861000,1.0976400,943567
20150404,000000,1.0967600,1.0976000,1.0963500,1.0963500,90
20150405,000000,1.0971000,1.1004000,1.0971000,1.1001400,5774
20150406,000000,1.1001200,1.1035600,1.0907000,1.0920800,937623
